Designator,Mid X,Mid Y,Rotation,Layer
Q55,180.59275,-226.95833,180.0,bottom
Q56,180.59275,-234.45833,180.0,bottom
Q57,195.42525,-49.475,0.0,bottom
Q58,195.42525,-41.975,0.0,bottom
Q59,195.42525,-66.3333,0.0,bottom
Q60,195.42525,-58.8333,0.0,bottom
Q61,180.61275,-58.8333,180.0,bottom
Q62,180.61275,-66.3333,180.0,bottom
Q63,180.61275,-41.975,180.0,bottom
Q64,180.61275,-49.475,180.0,bottom
R100,191.03025,-119.340953,0.0,bottom
R101,190.14525,-116.760238,270.0,bottom
R102,190.14525,-109.260238,270.0,bottom
R103,191.03025,-128.794524,0.0,bottom
R104,191.03025,-136.239167,0.0,bottom
R105,190.14525,-133.584524,270.0,bottom
R106,190.14525,-126.074524,270.0,bottom
R107,191.03025,-145.524524,0.0,bottom
R108,191.03025,-153.137381,0.0,bottom
R109,190.14525,-150.40881,270.0,bottom
R110,190.14525,-142.90881,270.0,bottom
R111,191.03025,-162.644524,0.0,bottom
R112,191.03025,-170.035595,0.0,bottom
R113,190.14525,-167.233096,270.0,bottom
R114,190.14525,-159.733096,270.0,bottom
R115,191.03025,-179.684524,0.0,bottom
R116,191.03025,-186.93381,0.0,bottom
R117,190.14525,-184.057381,270.0,bottom
R118,190.14525,-176.557381,270.0,bottom
R119,191.03025,-195.854524,0.0,bottom
R120,191.03025,-203.832024,0.0,bottom
R121,190.14525,-201.339524,270.0,bottom
R122,190.14525,-193.381667,270.0,bottom
R123,191.91525,-212.875,180.0,bottom
R124,191.925,-220.375,180.0,bottom
R125,190.14525,-217.6075,270.0,bottom
R126,190.14525,-210.1075,270.0,bottom
R127,183.86275,-214.75,0.0,bottom
R128,183.86275,-207.075,0.0,bottom
R129,185.63275,-210.1075,90.0,bottom
R130,185.63275,-217.6075,90.0,bottom
R131,191.91525,-230.175,180.0,bottom
R132,191.91525,-237.1,180.0,bottom
R133,190.14525,-234.45833,270.0,bottom
R134,190.14525,-226.95833,270.0,bottom
R135,183.86275,-231.75,0.0,bottom
R136,183.86275,-223.95,0.0,bottom
R137,185.63275,-226.95833,90.0,bottom
R138,185.63275,-234.45833,90.0,bottom
R139,191.03025,-44.875,180.0,bottom
R140,191.03025,-52.075,180.0,bottom
R141,190.14525,-49.475,270.0,bottom
R142,190.14525,-41.975,270.0,bottom
R143,191.03025,-61.425,180.0,bottom
R144,191.03025,-68.825,180.0,bottom
R145,190.14525,-66.3333,270.0,bottom
R146,190.14525,-58.8333,270.0,bottom
R147,184.825,-63.75,0.0,bottom
R148,184.7,-56.275,0.0,bottom
R149,185.63275,-58.8333,90.0,bottom
R150,185.63275,-66.3333,90.0,bottom
R151,184.825,-46.95,0.0,bottom
R152,184.825,-39.1,0.0,bottom
R153,185.63275,-41.975,90.0,bottom
R154,185.63275,-49.475,90.0,bottom
R32,185.63275,-83.111667,90.0,bottom
R33,184.91275,-80.531667,0.0,bottom
R34,184.825,-73.011667,0.0,bottom
R35,185.63275,-75.611667,90.0,bottom
R56,184.86275,-97.2,0.0,bottom
R57,184.91275,-89.651667,0.0,bottom
R58,185.63275,-92.276667,90.0,bottom
R59,185.63275,-99.776667,90.0,bottom
R60,184.96275,-114.180238,180.0,bottom
R61,184.91275,-106.508334,0.0,bottom
R62,185.63275,-109.1275,90.0,bottom
R63,185.63275,-116.6275,90.0,bottom
R64,184.74775,-131.004524,180.0,bottom
R65,184.74775,-123.365,180.0,bottom
R66,185.63275,-125.978334,90.0,bottom
R67,185.63275,-133.478334,90.0,bottom
R68,184.74775,-147.82881,180.0,bottom
R69,184.74775,-140.221667,180.0,bottom
R70,185.63275,-142.829167,90.0,bottom
R71,185.63275,-150.329167,90.0,bottom
R72,184.74775,-164.653096,180.0,bottom
R73,184.74775,-157.078334,180.0,bottom
R74,185.63275,-159.68,90.0,bottom
R75,185.63275,-167.18,90.0,bottom
R76,184.74775,-181.477381,180.0,bottom
R77,184.74775,-173.935,180.0,bottom
R78,185.63275,-176.530834,90.0,bottom
R79,185.63275,-184.030834,90.0,bottom
R80,184.74775,-198.301667,180.0,bottom
R81,184.74775,-190.791667,180.0,bottom
R82,185.63275,-193.381667,90.0,bottom
R83,185.63275,-200.881667,90.0,bottom
R84,182.925,-33.75,180.0,bottom
R85,182.925,-31.825,180.0,bottom
R86,195.25,-23.5,0.0,bottom
R87,179.725,-252.075,0.0,bottom
R88,179.7,-254.0,0.0,bottom
R89,196.0,-252.075,180.0,bottom
R90,196.0,-254.0,180.0,bottom
R91,191.03025,-78.054524,0.0,bottom
R92,191.03025,-94.954524,0.0,bottom
R93,191.03025,-85.544524,0.0,bottom
R94,191.03025,-102.442738,0.0,bottom
R95,190.14525,-83.066667,270.0,bottom
R96,190.14525,-75.566667,270.0,bottom
R97,190.14525,-99.935953,270.0,bottom
R98,190.14525,-92.435953,270.0,bottom
R99,191.03025,-111.944524,0.0,bottom
U15,178.79,-244.445,180.0,bottom
U16,192.37,-244.445,180.0,bottom
U17,185.58,-244.445,180.0,bottom
U18,199.16,-244.445,180.0,bottom
U19,172.0,-244.445,180.0,bottom
U20,205.95,-244.445,180.0,bottom
Z2,182.275,-27.801041,180.0,bottom
