C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C4:2
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C5:2
C6:1
C7:1
H5:1
H6:1
H7:1
H8:1
J1:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J17:1
J18:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
K1:1
K10:1
K11:1
K12:1
K13:1
K14:1
K15:1
K16:1
K17:1
K18:1
K4:1
K5:1
K6:1
K7:1
K8:1
K9:1
Q18:1
Q19:1
Q20:1
Q21:1
Q22:1
Q23:1
Q24:1
Q25:1
Q26:1
Q27:1
Q28:1
Q29:1
Q3:1
Q30:1
Q31:1
Q32:1
Q33:1
Q34:1
Q35:1
Q36:1
Q37:1
Q38:1
Q39:1
Q4:1
Q40:1
Q41:1
Q42:1
Q43:1
Q44:1
Q45:1
Q46:1
Q47:1
Q48:1
R100:1
R101:1
R102:1
R103:1
R104:1
R105:1
R106:1
R107:1
R108:1
R109:1
R110:1
R111:1
R112:1
R113:1
R114:1
R115:1
R116:1
R117:1
R118:1
R119:1
R120:1
R121:1
R122:1
R32:1
R33:1
R34:1
R35:1
R56:1
R57:1
R58:1
R59:1
R60:1
R61:1
R62:1
R63:1
R64:1
R65:1
R66:1
R67:1
R68:1
R69:1
R70:1
R71:1
R72:1
R73:1
R74:1
R75:1
R76:1
R77:1
R78:1
R79:1
R80:1
R81:1
R82:1
R83:1
R84:1
R85:1
R86:1
R87:1
R88:1
R89:1
R90:1
R91:1
R92:1
R93:1
R94:1
R95:1
R96:1
R97:1
R98:1
R99:1
REF**:1
U15:1
U16:1
U17:1
U18:1
Z2:1
